 tag   molecule                 #lines   lg(Q(1000))  lg(Q(500))   lg(Q(300))   lg(Q(225))   lg(Q(150))    lg(Q(75))  lg(Q(37.5))   lg(Q(18.75))  lg(Q(9.375))  lg(Q(5.000))  lg(Q(2.725))
 40503 KH                          238          NaN          NaN       2.3980       2.2732       2.0980       1.8010       1.5091       1.2269       0.9644          NaN          NaN
 40504 CH3CCH, v10=1              2962          NaN          NaN       4.2511       3.9712       3.6242       3.1343       2.6828       2.2462       1.8374          NaN          NaN
 40505 H2CCN                      2828          NaN       5.1263       4.7928       4.6052       4.3410       3.8897       3.4394       3.0037       2.6156          NaN          NaN
 40506 c-C3H4                     5718          NaN          NaN       4.5672       4.3797       4.1156       3.6645       3.2142       2.7651       2.3187          NaN          NaN
 40507 CH3CCH, nu10               5634          NaN          NaN       4.2511       3.9712       3.6242       3.1343       2.6828       2.2462       1.8374          NaN          NaN
 40508 CH3CCH, nu9                5974          NaN          NaN       4.2511       3.9712       3.6242       3.1343       2.6828       2.2462       1.8374          NaN          NaN
 40509 NaOH                         72          NaN          NaN       2.6980       2.5729       2.3968       2.0961       1.7961       1.4973       1.2009          NaN          NaN
 40510 HC-13-CN                    234          NaN          NaN       3.2473       3.1224       2.9462       2.6453       2.3445       2.0440       1.7444       1.4749       1.2203
 40511 HCC-13-N                    231          NaN          NaN       3.2325       3.1075       2.9314       2.6305       2.3298       2.0295       1.7302       1.4613       1.2076
 40512 DCCN                        202          NaN          NaN       3.2774       3.1524       2.9763       2.6752       2.3743       2.0735       1.7734       1.5031       1.2470
 40513 HCCN-15                     198          NaN          NaN       3.2461       3.1211       2.9450       2.6441       2.3433       2.0429       1.7434       1.4741       1.2198
 40514 c-C3D2                     1869          NaN          NaN       4.5853       4.3978       4.1337       3.6826       3.2322       2.7832       2.3368       1.9364       1.5587
 40515 l-C3D2                     1450          NaN          NaN       4.0798       3.8921       3.6278       3.1764       2.7255       2.2759       1.8376       1.4709       1.1514
 41501 CH3CCD                      965          NaN          NaN       4.0769       3.8894       3.6253       3.1739       2.7240       2.2871       1.8778          NaN          NaN
 41502 CH2DCCH                    1892          NaN          NaN       3.9925       3.8050       3.5408       3.0895       2.6386       2.1885       1.7398          NaN          NaN
 41503 H2CCNH                     2740          NaN          NaN       3.8107       3.6231       3.3590       2.9077       2.4569       2.0070       1.5590          NaN          NaN
 41504 Ar-40-H+                     30       1.8471       1.5356       1.3156       1.1928       1.0212       0.7344       0.4624       0.2214       0.0525          NaN          NaN
 41505 CH3CN, v=0                 1728          NaN       4.6869       4.1668       3.9055       3.5807       3.1030       2.6523       2.2157       1.8068       1.4547       1.1410
 41506 HCCO                        348          NaN          NaN       3.3638       3.2389       3.0629       2.7623       2.4623       2.1632       1.8662       1.6002       1.3493
 41507 HNCN                       1484          NaN          NaN       3.8040       3.6162       3.3516       2.9000       2.4492       2.0016       1.5918       1.2953       1.0426
 41508 MgOH                         78          NaN          NaN       2.9270       2.8021       2.6260       2.3255       2.0258       1.7275       1.4319          NaN          NaN
 42501 H2CCO                      2027          NaN          NaN       4.0151       3.8275       3.5633       3.1120       2.6607       2.1970       1.6779       1.1734       0.7933
 42502 NaF, v=0,1                  192          NaN       3.0140       2.7188       2.5725       2.3839       2.0805       1.7805       1.4818       1.1856          NaN          NaN
 42503 NCO                         896          NaN          NaN       3.7216       3.5727       3.3556       2.9763       2.6281       2.3282       2.0501          NaN          NaN
 42504 CH3CNH+                     456          NaN          NaN       4.0356       3.8481       3.5840       3.1326       2.6827       2.2459       1.8367          NaN          NaN
 42505 SiN                         411          NaN       3.4579       3.2360       3.1111       2.9353       2.6351       2.3361       2.0390       1.7461          NaN          NaN
 42506 HNCNH                      2895          NaN          NaN       4.7193       4.5314       4.2668       3.8151       3.3641       2.9143       2.4717          NaN          NaN
 42507 Ar-40-D+                     38       2.1541       1.8232       1.6001       1.4761       1.3022       1.0083       0.7220       0.4510       0.2121          NaN          NaN
 42508 C-13-H3CN, v=0             1636          NaN       4.3510       4.0178       3.8303       3.5662       3.1149       2.6650       2.2283       1.8194          NaN          NaN
 42509 CH3C-13-N, v=0             1619          NaN       4.3385       4.0053       3.8178       3.5537       3.1024       2.6525       2.2159       1.8070          NaN          NaN
 42510 CH3CN-15, v=0              1351          NaN       4.3515       4.0184       3.8309       3.5667       3.1154       2.6655       2.2289       1.8199          NaN          NaN
 42511 CH2DCN                     4796          NaN          NaN       3.9632       3.7757       3.5115       3.0602       2.6093       2.1593       1.7109       1.3071       0.9300
 42512 NCO-                         70          NaN          NaN       3.2123       3.0874       2.9114       2.6109       2.3109       2.0120       1.7152       1.4498       1.1997
 43501 CP                          345          NaN          NaN       3.0213       2.8964       2.7206       2.4206       2.1217       1.8251       1.5329          NaN          NaN
 43502 Ethylenimine              13631          NaN          NaN       4.5158       4.3284       4.0643       3.6132       3.1627       2.7136       2.2668          NaN          NaN
 43503 MgF                         210          NaN          NaN       3.2088       3.0838       2.9078       2.6073       2.3075       2.0093       1.7138          NaN          NaN
 43504 C2H3NH2, w.in 0+,-         6659          NaN          NaN       4.3583       4.1570       3.8670       3.3508       2.8180       2.3105       1.8492          NaN          NaN
 43505 H2CC-13-O                  1259          NaN          NaN       4.0151       3.8275       3.5633       3.1120       2.6607       2.1970       1.6779          NaN          NaN
 43506 H2C-13-CO                  1280          NaN          NaN       4.0291       3.8415       3.5773       3.1259       2.6747       2.2108       1.6917          NaN          NaN
 43507 HDC2O                      1346          NaN          NaN       3.8262       3.6386       3.3743       2.9228       2.4720       2.0221       1.5740          NaN          NaN
 43508 C2H3NH2, 0-<-0+           11654          NaN          NaN       4.3583       4.1570       3.8670       3.3508       2.8180       2.3105       1.8492          NaN          NaN
 43509 HCNO                         90          NaN          NaN       2.7369       2.6120       2.4360       2.1355       1.8355       1.5366       1.2398       0.9743       0.7241
 43510 HOCN                       1041          NaN          NaN       3.5075       3.3196       3.0551       2.6035       2.1527       1.7060       1.3037       1.0130       0.7604
 43511 HNCO                       1653          NaN       3.7684       3.4306       3.2412       2.9748       2.5211       2.0693       1.6317       1.2660       0.9922       0.7414
 43512 HONC                         22          NaN          NaN       3.5077       3.3198       3.0553       2.6037       2.1529       1.7051       1.2936       0.9957       0.7428
 43513 C-13-H3C-13-N              1351          NaN       4.3512       4.0181       3.8306       3.5664       3.1151       2.6653       2.2286       1.8196          NaN          NaN
 43514 CHD2CN                     6991          NaN          NaN       4.0352       3.8476       3.5834       3.1321       2.6812       2.2311       1.7825       1.3782       0.9949
 43515 H2NC-13-N                  2263          NaN          NaN       4.2531       4.0505       3.7583       3.2382       2.7045       2.1845       1.6446          NaN          NaN
 43516 HNSi                         45          NaN          NaN       2.5175       2.3926       2.2168       1.9165       1.6172       1.3197       1.0258       0.7652       0.5241
 44501 CS, v=0-4                   495          NaN       2.6411       2.4088       2.2831       2.1071       1.8072       1.5084       1.2119       0.9200       0.6630       0.4286
 44502 HCP, v=0                     65          NaN          NaN       2.5291       2.3828       2.1968       1.8953       1.5961       1.2988       1.0052          NaN          NaN
 44503 HCP, v2=1                    80          NaN          NaN       2.5291       2.3828       2.1968       1.8953       1.5961       1.2988       1.0052          NaN          NaN
 44504 Ethylene oxide            13181          NaN          NaN       4.5955       4.4080       4.1439       3.6928       3.2424       2.7934       2.3470       1.9464       1.5677
 44505 SiO, v=0-10                1190       3.0656       2.6949       2.4613       2.3354       2.1594       1.8593       1.5602       1.2632       0.9703       0.7115       0.4736
 44506 s-H2C=CHOH                 2572          NaN          NaN       4.0675       3.8800       3.6158       3.1644       2.7136       2.2637       1.8155          NaN          NaN
 44507 a-H2C=CHOH                 2716          NaN          NaN       4.0584       3.8709       3.6067       3.1553       2.7045       2.2546       1.8064          NaN          NaN
 44508 H2C2O-18                   1151          NaN          NaN       4.0377       3.8501       3.5859       3.1345       2.6833       2.2194       1.7002          NaN          NaN
 44509 D2C2O                      1545          NaN          NaN       4.0984       3.9108       3.6465       3.1951       2.7442       2.2945       1.8553          NaN          NaN
 44510 CS, v=1-0,2-1               395          NaN       2.6411       2.4088       2.2831       2.1071       1.8072       1.5084       1.2119       0.9200          NaN          NaN
 44511 CS, v=2-0                   198          NaN       2.6411       2.4088       2.2831       2.1071       1.8072       1.5084       1.2119       0.9200          NaN          NaN
 44512 CS+                         115          NaN          NaN       3.1616       3.0368       2.8610       2.5611       2.2624       1.9662       1.6748          NaN          NaN
 44513 DCNO                         90          NaN          NaN       2.7838       2.6589       2.4830       2.1824       1.8823       1.5831       1.2859          NaN          NaN
 44514 HC-13-NO                     87          NaN          NaN       2.7514       2.6265       2.4505       2.1500       1.8499       1.5510       1.2540          NaN          NaN
 44515 HCN-15-O                     85          NaN          NaN       2.7369       2.6120       2.4360       2.1355       1.8355       1.5366       1.2398          NaN          NaN
 44516 H2NCO+                      813          NaN          NaN       3.9873       3.7998       3.5356       3.0843       2.6325       2.1620       1.6298       1.1336       0.7844
 45501 C-13-S, v=0,1               198          NaN       2.9684       2.7350       2.6091       2.4331       2.1331       1.8342       1.5374       1.2450          NaN          NaN
 45502 CS-33, v=0,1                198          NaN          NaN       3.0145       2.8887       2.7128       2.4128       2.1140       1.8174       1.5255          NaN          NaN
 45503 DCP                          65          NaN          NaN       2.5666       2.4417       2.2658       1.9655       1.6660       1.3681       1.0734          NaN          NaN
 45504 Si-29-O, v=0-6              746       3.0720       2.7006       2.4668       2.3409       2.1649       1.8647       1.5657       1.2686       0.9755       0.7166       0.4784
 45505 H2CP                       4473          NaN          NaN       4.3944       4.2069       3.9427       3.4915       3.0419       2.6090       2.2259          NaN          NaN
 45506 HCS+                         67          NaN          NaN       2.4676       2.3427       2.1669       1.8668       1.5677       1.2706       0.9775          NaN          NaN
 45507 HCS                         274          NaN          NaN       3.7515       3.5641       3.3002       2.8494       2.3999       1.9668       1.6100          NaN          NaN
 45508 HSC                        3968          NaN          NaN       4.0044       3.8168       3.5525       3.1015       2.6515       2.2034       1.7602          NaN          NaN
 45509 C-13-S, v=1-0               198          NaN       2.9684       2.7350       2.6091       2.4331       2.1331       1.8342       1.5374       1.2450          NaN          NaN
 45510 HC-13-P                      62          NaN          NaN       2.5148       2.3899       2.2140       1.9138       1.6145       1.3170       1.0231          NaN          NaN
 45511 PN                           65          NaN       2.6477       2.4258       2.3010       2.1252       1.8252       1.5263       1.2296       0.9373       0.6797       0.4440
 45512 HC(O)NH2, v=0             14593          NaN       4.3216       3.9884       3.8009       3.5367       3.0854       2.6347       2.1849       1.7370       1.3340       0.9508
 45513 c-CC-13-H4O                 836          NaN          NaN       4.0045       3.8170       3.5529       3.1018       2.6514       2.2023       1.7558       1.3551       0.9756
 45514 HSiO                       2254          NaN          NaN       4.0175       3.8293       3.5645       3.1128       2.6624       2.2139       1.7707       1.4023       1.1225
 45515 ethylamine, anti-conformer  3857          NaN          NaN       5.3544       5.1670       4.9029       4.4516       4.0006       3.5505       3.1017          NaN          NaN
 45516 HC(O)NH2, v12=1            9657          NaN       4.3216       3.9884       3.8009       3.5367       3.0854       2.6347       2.1849       1.7370       1.3340       0.9508
 45517 t-HOCO                    11750          NaN          NaN       4.3908       4.2030       3.9386       3.4871       3.0363       2.5866       2.1390       1.7384       1.3837
 45518 c-HOCO                      639          NaN          NaN       4.4166       4.2289       3.9645       3.5131       3.0623       2.6127       2.1651       1.7632       1.3969
 45519 SiO-17, v=0-4               550       3.0852       2.7124       2.4780       2.3520       2.1760       1.8758       1.5767       1.2795       0.9863       0.7270       0.4881
 46501 CS-34, v=0,1                198          NaN       2.6484       2.4158       2.2901       2.1141       1.8141       1.5153       1.2187       0.9267          NaN          NaN
 46502 Si-30-O, v=0-6              751       3.0781       2.7061       2.4720       2.3460       2.1700       1.8699       1.5708       1.2736       0.9805       0.7214       0.4829
 46503 SiO-18, v=0-5               686       3.1033       2.7285       2.4934       2.3673       2.1912       1.8910       1.5918       1.2945       1.0010       0.7412       0.5015
 46504 HC-13-S+                     63          NaN          NaN       2.4861       2.3613       2.1854       1.8853       1.5861       1.2889       0.9954          NaN          NaN
 46505 DCS+                         67          NaN          NaN       2.5409       2.4160       2.2402       1.9399       1.6405       1.3428       1.0485          NaN          NaN
 46506 t-HCOOH                   10317          NaN          NaN       3.9495       3.7619       3.4977       3.0465       2.5958       2.1461       1.6984          NaN          NaN
 46507 c-HCOOH                   12834          NaN          NaN       3.9353       3.7477       3.4835       3.0322       2.5815       2.1318       1.6841          NaN          NaN
 46508 C-13-S-33                    75          NaN          NaN       3.0398       2.9140       2.7380       2.4379       2.1390       1.8422       1.5497          NaN          NaN
 46509 H2CS                       2046          NaN       4.1112       3.7779       3.5903       3.3262       2.8751       2.4244       1.9603       1.4402       0.9416       0.5784
 46510 CS-34, v=1-0                198          NaN       2.6484       2.4158       2.2901       2.1141       1.8141       1.5153       1.2187       0.9267          NaN          NaN
 46511 PN-15                        56          NaN       2.6680       2.4461       2.3213       2.1454       1.8454       1.5464       1.2495       0.9568       0.6985       0.4615
 46512 HC-13-(O)NH2               9423          NaN       4.3273       3.9941       3.8066       3.5424       3.0911       2.6404       2.1906       1.7427       1.3397       0.9563
 46513 HC(O)N-15-H2               6591          NaN       4.3340       4.0008       3.8133       3.5491       3.0978       2.6470       2.1972       1.7493       1.3461       0.9625
 46514 CH3OCH3, v=0              45654          NaN          NaN       6.0254       5.7366       5.3463       4.7896       4.3251       3.8748       3.4265          NaN          NaN
 46515 NS, v=0                     728          NaN       3.6307       3.3413       3.1811       2.9608       2.6202       2.3186       2.0280       1.7480       1.5115       1.3123
 46516 NS, v=1                     556          NaN       3.6307       3.3413       3.1811       2.9608       2.6202       2.3186       2.0280       1.7480       1.5115       1.3123
 46517 NS, v=1-0                   376          NaN       3.6307       3.3413       3.1811       2.9608       2.6202       2.3186       2.0280       1.7480       1.5115       1.3123
 46518 c-C2H4O-18                  568          NaN          NaN       4.6159       4.4284       4.1643       3.7132       3.2628       2.8137       2.3671       1.9663       1.5870
 46519 H2SiO                       679          NaN          NaN       3.8866       3.6990       3.4349       2.9838       2.5336       2.0838       1.6150       1.1388       0.6701
 46520 DC(O)NH2                  10014          NaN          NaN       4.5356       4.3481       4.0839       3.6327       3.1819       2.7321       2.2840       1.8807       1.4966
 46521 cis-HC(O)NHD               9372          NaN          NaN       4.5208       4.3332       4.0691       3.6178       3.1670       2.7171       2.2691       1.8657       1.4815
 46522 trans-HC(O)NHD             8506          NaN          NaN       4.5040       4.3165       4.0523       3.6010       3.1503       2.7004       2.2522       1.8487       1.4645
 46523 Si-29-O-17, v=0-2           317          NaN       2.7184       2.4838       2.3577       2.1816       1.8815       1.5823       1.2851       0.9917       0.7323       0.4931
 47501 C-13-S-34                    75          NaN          NaN       2.4414       2.3155       2.1395       1.8395       1.5405       1.2437       0.9511          NaN          NaN
 47502 HCS-34+                      62          NaN          NaN       2.4746       2.3498       2.1740       1.8739       1.5747       1.2776       0.9844          NaN          NaN
 47503 t-HC-13-OOH                6834          NaN          NaN       3.9558       3.7682       3.5040       3.0527       2.6021       2.1524       1.7047          NaN          NaN
 47504 HDCS                       1331          NaN          NaN       3.6006       3.4130       3.1488       2.6976       2.2473       1.7985       1.3525          NaN          NaN
 47505 H2C-13-S                   1077          NaN          NaN       3.7953       3.6078       3.3436       2.8926       2.4418       1.9777       1.4576          NaN          NaN
 47506 H2CS-33                    2530          NaN          NaN       4.3837       4.1962       3.9320       3.4810       3.0303       2.5661       2.0460          NaN          NaN
 47507 PO                          620          NaN       3.4644       3.1875       3.0284       2.8083       2.4678       2.1659       1.8745       1.5928          NaN          NaN
 47508 HC(O-18)NH2                6666          NaN       4.3462       4.0130       3.8255       3.5613       3.1100       2.6592       2.2094       1.7613       1.3580       0.9741
 47509 NS-33                      1860          NaN          NaN       3.9460       3.7870       3.5668       3.2263       2.9246       2.6339       2.3536       2.1168       1.9170
 47510 N-15-S                      364          NaN          NaN       3.1843       3.0252       2.8050       2.4644       2.1625       1.8714       1.5904       1.3522       1.1501
 47511 a-CH3C-13-H2OH             2556          NaN          NaN       4.2376       4.0500       3.7858       3.3343       2.8834       2.4333       1.9847       1.5804       1.1944
 47512 a-C-13-H3CH2OH             2558          NaN          NaN       4.2444       4.0568       3.7925       3.3411       2.8902       2.4400       1.9913       1.5869       1.2007
 47513 Si-29-O-18, v=0-3           442       3.1103       2.7347       2.4993       2.3732       2.1971       1.8969       1.5976       1.3003       1.0067       0.7467       0.5067
 47514 Si-30-O-17, v=0-2           318          NaN       2.7241       2.4892       2.3631       2.1870       1.8868       1.5876       1.2904       0.9969       0.7373       0.4978
 48501 SO, v=0                     449          NaN          NaN       2.9295       2.8009       2.6175       2.2956       1.9559       1.5897       1.2015       0.8698       0.6058
 48502 SO, v=1                     245          NaN          NaN       2.9295       2.8009       2.6175       2.2956       1.9559       1.5897       1.2015          NaN          NaN
 48503 CS-36                        75          NaN          NaN       2.4222       2.2964       2.1205       1.8204       1.5216       1.2249       0.9327          NaN          NaN
 48504 SO-sgl-D, v0,1               80          NaN          NaN       2.4708       2.3441       2.1678       1.8677       1.5686       1.2715       0.9784          NaN          NaN
 48505 NaCCH                        99          NaN          NaN       3.1426       3.0175       2.8413       2.5403       2.2396       1.9394       1.6400          NaN          NaN
 48506 HPO                        1461          NaN          NaN       3.7273       3.5397       3.2755       2.8245       2.3746       1.9266       1.4829          NaN          NaN
 48507 D2CS                       1369          NaN          NaN       3.8855       3.6979       3.4337       2.9825       2.5321       2.0834       1.6471          NaN          NaN
 48508 H2CS-34                    1069          NaN          NaN       3.7853       3.5977       3.3336       2.8825       2.4318       1.9676       1.4474          NaN          NaN
 48509 NS-34                       546          NaN          NaN       3.3478       3.1887       2.9685       2.6280       2.3262       2.0354       1.7550       1.5179       1.3176
 48510 Si-30-O-18, v=0-3           444       3.1170       2.7406       2.5050       2.3787       2.2026       1.9024       1.6032       1.3058       1.0120       0.7519       0.5115
 49501 S-33-O                     1641          NaN          NaN       3.5360       3.4073       3.2239       2.9019       2.5621       2.1956       1.8069       1.4748       1.2104
 49502 SO-17                      2380          NaN          NaN       3.7250       3.5962       3.4128       3.0906       2.7504       2.3831       1.9932       1.6596       1.3939
 49503 C4H, v=0                    438          NaN          NaN       3.7208       3.5959       3.4198       3.1190       2.8183       2.5182       2.2189          NaN          NaN
 49504 C4H, v7=1                   392          NaN          NaN       3.7208       3.5959       3.4198       3.1190       2.8183       2.5182       2.2189          NaN          NaN
 49505 C4H, v7=2^0                 207          NaN          NaN       3.7208       3.5959       3.4198       3.1190       2.8183       2.5182       2.2189          NaN          NaN
 49506 C4H, v7=2^2                 194          NaN          NaN       3.7208       3.5959       3.4198       3.1190       2.8183       2.5182       2.2189          NaN          NaN
 49507 MgCCH                       219          NaN          NaN       3.4016       3.2766       3.1005       2.7996       2.4989       2.1988       1.8996          NaN          NaN
 49508 C-13-S-36                    75          NaN          NaN       2.4482       2.3222       2.1462       1.8461       1.5471       1.2502       0.9575          NaN          NaN
 49509 C4H-                         94          NaN          NaN       3.1283       3.0033       2.8273       2.5264       2.2258       1.9256       1.6263          NaN          NaN
 49510 NaCN                       2574          NaN          NaN       4.1735       3.9850       3.7199       3.2676       2.8162       2.3657       1.9168       1.5120       1.1252
 49511 N-15-S-34                   368          NaN          NaN       3.1925       3.0334       2.8131       2.4724       2.1705       1.8792       1.5978       1.3590       1.1558
 49512 HSO                        5859          NaN          NaN       4.0113       3.8237       3.5595       3.1085       2.6586       2.2106       1.7676       1.3968       1.1146
 50501 S-34-O                      397          NaN          NaN       2.9380       2.8094       2.6260       2.3039       1.9640       1.5972       1.2081       0.8755       0.6107
 50502 SO-18                       359          NaN          NaN       2.9627       2.8339       2.6504       2.3280       1.9873       1.6191       1.2276       0.8923       0.6252
 50503 l-C4H2                      581          NaN          NaN       4.3663       4.1787       3.9144       3.4628       3.0110       2.5456       2.0229          NaN          NaN
 50504 MgNC, v=0                   777          NaN          NaN       3.7991       3.6741       3.4979       3.1970       2.8964       2.5964       2.2976          NaN          NaN
 50505 MgNC, v2=1                  340          NaN          NaN       3.7991       3.6741       3.4979       3.1970       2.8964       2.5964       2.2976          NaN          NaN
 50506 C4D                         204          NaN          NaN       3.4522       3.3273       3.1512       2.8503       2.5497       2.2494       1.9500          NaN          NaN
 50507 C-13-CCCH                   783          NaN          NaN       4.0371       3.9121       3.7360       3.4351       3.1344       2.8341       2.5344          NaN          NaN
 50508 CC-13-CCH                   777          NaN          NaN       4.0241       3.8991       3.7230       3.4222       3.1215       2.8214       2.5220          NaN          NaN
 50509 CCC-13-CH                   771          NaN          NaN       4.0234       3.8984       3.7224       3.4215       3.1209       2.8207       2.5214          NaN          NaN
 50510 CCCC-13-H                   783          NaN          NaN       4.0352       3.9102       3.7342       3.4333       3.1327       2.8325       2.5331          NaN          NaN
 50511 C3N, v=0                    866          NaN          NaN       4.1745       4.0014       3.7471       3.3243       2.9803       2.6774       2.3782          NaN          NaN
 50512 C3N, v5=1                   558          NaN          NaN       4.1745       4.0014       3.7471       3.3243       2.9803       2.6774       2.3782          NaN          NaN
 50513 NaC-13-N                   2706          NaN          NaN       4.1916       4.0031       3.7379       3.2856       2.8342       2.3837       1.1428          NaN          NaN
 50514 C3N-                         99          NaN          NaN       3.5875       3.4625       3.2865       2.9856       2.6850       2.3849       2.0856          NaN          NaN
 50515 C4D-                         46          NaN          NaN       3.1603       3.0354       2.8593       2.5584       2.2578       1.9576       1.6581          NaN          NaN
 50516 NS-36                       548          NaN          NaN       3.3548       3.1958       2.9756       2.6349       2.3331       2.0422       1.7614       1.5237       1.3224
 51501 HC3N, v=0                   207          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363       1.3662       1.1079
 51502 HC3N, v7=1                  458          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51503 HC3N, v7=2                  528          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51504 HC3N, v6=1                  320          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51505 HC3N, v6=v7=1               480          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51506 HC3N, v4=1                  112          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51507 HC3N, v4=v7=1               248          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51508 HC3N, v5=1/v7=3             699          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51509 HC3N, v4=1,v7=2/v5=2^0      472          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51510 KC                          257          NaN          NaN       3.4643       3.3390       3.1627       2.8616       2.5612       2.2617       1.9638          NaN          NaN
 51511 C-13-CCN                   1011          NaN          NaN       4.1967       4.0718       3.8957       3.5947       3.2939       2.9933       2.6933          NaN          NaN
 51512 CC-13-CN                   1014          NaN          NaN       4.1834       4.0584       3.8824       3.5815       3.2809       2.9807       2.6813          NaN          NaN
 51513 CCC-13-N                    996          NaN          NaN       4.1826       4.0577       3.8816       3.5808       3.2802       2.9801       2.6808          NaN          NaN
 51514 C3N-15                      312          NaN          NaN       3.7169       3.5920       3.4159       3.1151       2.8145       2.5143       2.2151          NaN          NaN
 51515 l-C-13-C3H2                 220          NaN          NaN       4.6828       4.4952       4.2309       3.7793       3.3275       2.8620       2.3394          NaN          NaN
 51516 l-CC-13-C2H2                104          NaN          NaN       4.3685       4.1809       3.9166       3.4650       3.0132       2.5477       2.0251          NaN          NaN
 51517 l-C2C-13-CH2                210          NaN          NaN       4.6684       4.4808       4.2165       3.7649       3.3132       2.8477       2.3251          NaN          NaN
 51518 l-C3C-13-H2                 218          NaN          NaN       4.6801       4.4925       4.2282       3.7766       3.3248       2.8593       2.3367          NaN          NaN
 51519 HC3N, v3=1                   96          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51520 HC3N, v2=1                   98          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51521 l-C4HD                       35          NaN          NaN       4.4724       4.2847       4.0202       3.5685       3.1172       2.6632       2.1778          NaN          NaN
 51522 HC3N, nu3 band              191          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51523 HC3N, nu2 band              205          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51524 HC3N, nu1 band              261          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51525 HC3N, v7=4/v5=v7=1         1052          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51526 HC3N, v6=2                  319          NaN          NaN       3.1383       3.0133       2.8373       2.5364       2.2358       1.9356       1.6363          NaN          NaN
 51527 HMgNC                        45          NaN          NaN       3.0577       2.9327       2.7565       2.4556       2.1550       1.8550       1.5560          NaN          NaN
 52501 CCCO, v=0                   115          NaN          NaN       3.1140       2.9891       2.8130       2.5122       2.2115       1.9114       1.6121          NaN          NaN
 52502 S-36-O                      330          NaN          NaN       2.9458       2.8171       2.6336       2.3114       1.9713       1.6040       1.2142       0.8807       0.6152
 52503 HC3NH+                      149          NaN          NaN       3.6369       3.5120       3.3359       3.0351       2.7344       2.4342       2.1347          NaN          NaN
 52504 KCH                         197          NaN          NaN       3.4003       3.2750       3.0987       2.7975       2.4966       2.1961       1.8964          NaN          NaN
 52505 CaC                         205          NaN          NaN       3.2599       3.1348       2.9586       2.6578       2.3575       2.0582       1.7609          NaN          NaN
 52506 C4H4: butenyne             4096          NaN          NaN       4.4379       4.2499       3.9853       3.5333       3.0818       2.6309       2.1809          NaN          NaN
 52507 (c-C3H2)CH2                5020          NaN          NaN       5.0050       4.8175       4.5533       4.1019       3.6508       3.2003       2.7509          NaN          NaN
 52508 DC3N, v=0                   135          NaN       3.3926       3.1707       3.0458       2.8697       2.5688       2.2682       1.9679       1.6685          NaN          NaN
 52509 HC-13-CCN, v=0              119          NaN       3.3738       3.1519       3.0270       2.8509       2.5500       2.2494       1.9492       1.6498          NaN          NaN
 52510 HCC-13-CN, v=0              120          NaN       3.3620       3.1401       3.0152       2.8391       2.5383       2.2376       1.9374       1.6381          NaN          NaN
 52511 HCCC-13-N, v=0              120          NaN       3.3620       3.1401       3.0151       2.8391       2.5382       2.2376       1.9374       1.6380          NaN          NaN
 52512 HCCCN-15, v=0               119          NaN       3.3730       3.1511       3.0261       2.8501       2.5492       2.2486       1.9484       1.6490          NaN          NaN
 52513 DC3N, v7=1                  276          NaN       3.3926       3.1707       3.0458       2.8697       2.5688       2.2682       1.9679       1.6685          NaN          NaN
 52514 HC-13-CCN, v7=1             196          NaN       3.3738       3.1519       3.0270       2.8509       2.5500       2.2494       1.9492       1.6498          NaN          NaN
 52515 HCC-13-CN, v7=1             196          NaN       3.3620       3.1401       3.0152       2.8391       2.5383       2.2376       1.9374       1.6381          NaN          NaN
 52516 HCCC-13-N, v7=1             196          NaN       3.3620       3.1401       3.0151       2.8391       2.5382       2.2376       1.9374       1.6380          NaN          NaN
 52517 HCCCN-15, v7=1              196          NaN       3.3730       3.1511       3.0261       2.8501       2.5492       2.2486       1.9484       1.6490          NaN          NaN
 52518 HC-13-CCN, v7=2             264          NaN       3.3738       3.1519       3.0270       2.8509       2.5500       2.2494       1.9492       1.6498          NaN          NaN
 52519 HCC-13-CN, v7=2             263          NaN       3.3620       3.1401       3.0152       2.8391       2.5383       2.2376       1.9374       1.6381          NaN          NaN
